{'loss': 314.0, 'grad_norm_square': 26240.0, 'tokens': 382}
{'loss': 298.0, 'grad_norm_square': 23808.0, 'tokens': 436}
{'loss': 374.0, 'grad_norm_square': 25728.0, 'tokens': 300}
{'loss': 286.0, 'grad_norm_square': 23424.0, 'tokens': 361}
{'loss': 438.0, 'grad_norm_square': 29824.0, 'tokens': 356}
{'loss': 304.0, 'grad_norm_square': 21888.0, 'tokens': 467}
{'loss': 174.0, 'grad_norm_square': 18176.0, 'tokens': 254}
{'loss': 314.0, 'grad_norm_square': 21504.0, 'tokens': 373}
{'loss': 482.0, 'grad_norm_square': 30720.0, 'tokens': 460}
{'loss': 346.0, 'grad_norm_square': 24064.0, 'tokens': 366}
{'loss': 360.0, 'grad_norm_square': 22528.0, 'tokens': 431}
{'loss': 374.0, 'grad_norm_square': 24704.0, 'tokens': 444}
{'loss': 193.0, 'grad_norm_square': 19840.0, 'tokens': 253}
{'loss': 454.0, 'grad_norm_square': 23424.0, 'tokens': 452}
{'loss': 324.0, 'grad_norm_square': 28800.0, 'tokens': 392}
{'loss': 302.0, 'grad_norm_square': 24832.0, 'tokens': 370}
{'loss': 196.0, 'grad_norm_square': 15744.0, 'tokens': 269}
{'loss': 340.0, 'grad_norm_square': 25472.0, 'tokens': 397}
{'loss': 362.0, 'grad_norm_square': 22272.0, 'tokens': 407}
{'loss': 316.0, 'grad_norm_square': 23296.0, 'tokens': 351}
{'loss': 548.0, 'grad_norm_square': 26112.0, 'tokens': 473}
{'loss': 392.0, 'grad_norm_square': 24320.0, 'tokens': 456}
{'loss': 245.0, 'grad_norm_square': 19072.0, 'tokens': 293}
{'loss': 432.0, 'grad_norm_square': 27520.0, 'tokens': 383}
{'loss': 420.0, 'grad_norm_square': 25856.0, 'tokens': 290}
{'loss': 474.0, 'grad_norm_square': 27776.0, 'tokens': 405}
{'loss': 374.0, 'grad_norm_square': 34560.0, 'tokens': 415}
{'loss': 342.0, 'grad_norm_square': 21504.0, 'tokens': 270}
{'loss': 234.0, 'grad_norm_square': 19840.0, 'tokens': 335}
{'loss': 350.0, 'grad_norm_square': 23424.0, 'tokens': 310}
{'loss': 308.0, 'grad_norm_square': 21760.0, 'tokens': 389}
{'loss': 404.0, 'grad_norm_square': 26240.0, 'tokens': 361}
{'loss': 253.0, 'grad_norm_square': 18944.0, 'tokens': 316}
{'loss': 458.0, 'grad_norm_square': 28672.0, 'tokens': 377}
{'loss': 262.0, 'grad_norm_square': 24192.0, 'tokens': 283}
{'loss': 308.0, 'grad_norm_square': 28928.0, 'tokens': 346}
{'loss': 249.0, 'grad_norm_square': 25216.0, 'tokens': 258}
{'loss': 408.0, 'grad_norm_square': 25088.0, 'tokens': 452}
{'loss': 442.0, 'grad_norm_square': 33792.0, 'tokens': 444}
{'loss': 328.0, 'grad_norm_square': 27136.0, 'tokens': 404}
{'loss': 338.0, 'grad_norm_square': 24448.0, 'tokens': 431}
{'loss': 416.0, 'grad_norm_square': 27520.0, 'tokens': 470}
{'loss': 400.0, 'grad_norm_square': 32128.0, 'tokens': 483}
{'loss': 296.0, 'grad_norm_square': 19968.0, 'tokens': 310}
{'loss': 402.0, 'grad_norm_square': 23296.0, 'tokens': 455}
{'loss': 268.0, 'grad_norm_square': 26624.0, 'tokens': 351}
{'loss': 225.0, 'grad_norm_square': 23168.0, 'tokens': 349}
{'loss': 230.0, 'grad_norm_square': 25216.0, 'tokens': 259}
{'loss': 198.0, 'grad_norm_square': 15936.0, 'tokens': 254}
{'loss': 422.0, 'grad_norm_square': 27392.0, 'tokens': 457}
{'loss': 422.0, 'grad_norm_square': 31360.0, 'tokens': 489}
{'loss': 404.0, 'grad_norm_square': 27392.0, 'tokens': 461}
{'loss': 368.0, 'grad_norm_square': 24448.0, 'tokens': 424}
{'loss': 300.0, 'grad_norm_square': 25472.0, 'tokens': 397}
{'loss': 346.0, 'grad_norm_square': 25856.0, 'tokens': 377}
{'loss': 412.0, 'grad_norm_square': 28288.0, 'tokens': 443}
{'loss': 422.0, 'grad_norm_square': 24320.0, 'tokens': 440}
{'loss': 404.0, 'grad_norm_square': 24576.0, 'tokens': 458}
{'loss': 304.0, 'grad_norm_square': 21632.0, 'tokens': 378}
{'loss': 372.0, 'grad_norm_square': 25856.0, 'tokens': 431}
{'loss': 556.0, 'grad_norm_square': 27648.0, 'tokens': 482}
{'loss': 195.0, 'grad_norm_square': 27008.0, 'tokens': 288}
{'loss': 486.0, 'grad_norm_square': 31744.0, 'tokens': 453}
{'loss': 374.0, 'grad_norm_square': 23936.0, 'tokens': 411}
{'loss': 406.0, 'grad_norm_square': 29440.0, 'tokens': 380}
{'loss': 350.0, 'grad_norm_square': 30208.0, 'tokens': 372}
{'loss': 208.0, 'grad_norm_square': 29568.0, 'tokens': 283}
{'loss': 268.0, 'grad_norm_square': 20096.0, 'tokens': 280}
{'loss': 174.0, 'grad_norm_square': 20608.0, 'tokens': 278}
{'loss': 270.0, 'grad_norm_square': 18432.0, 'tokens': 294}
{'loss': 708.0, 'grad_norm_square': 44800.0, 'tokens': 459}
{'loss': 498.0, 'grad_norm_square': 27904.0, 'tokens': 437}
{'loss': 360.0, 'grad_norm_square': 24832.0, 'tokens': 269}
{'loss': 430.0, 'grad_norm_square': 33792.0, 'tokens': 366}
{'loss': 338.0, 'grad_norm_square': 24064.0, 'tokens': 268}
{'loss': 592.0, 'grad_norm_square': 32256.0, 'tokens': 495}
{'loss': 372.0, 'grad_norm_square': 31488.0, 'tokens': 439}
{'loss': 201.0, 'grad_norm_square': 27648.0, 'tokens': 278}
{'loss': 350.0, 'grad_norm_square': 21760.0, 'tokens': 372}
{'loss': 292.0, 'grad_norm_square': 22400.0, 'tokens': 312}
{'loss': 398.0, 'grad_norm_square': 23040.0, 'tokens': 435}
{'loss': 268.0, 'grad_norm_square': 22400.0, 'tokens': 281}
{'loss': 480.0, 'grad_norm_square': 25984.0, 'tokens': 462}
{'loss': 486.0, 'grad_norm_square': 33536.0, 'tokens': 486}
{'loss': 448.0, 'grad_norm_square': 30464.0, 'tokens': 393}
{'loss': 370.0, 'grad_norm_square': 23552.0, 'tokens': 407}
{'loss': 227.0, 'grad_norm_square': 16512.0, 'tokens': 254}
{'loss': 452.0, 'grad_norm_square': 28160.0, 'tokens': 425}
{'loss': 476.0, 'grad_norm_square': 30208.0, 'tokens': 432}
{'loss': 468.0, 'grad_norm_square': 29312.0, 'tokens': 454}
{'loss': 330.0, 'grad_norm_square': 20480.0, 'tokens': 405}
{'loss': 314.0, 'grad_norm_square': 24192.0, 'tokens': 430}
{'loss': 292.0, 'grad_norm_square': 22144.0, 'tokens': 256}
{'loss': 436.0, 'grad_norm_square': 24832.0, 'tokens': 430}
{'loss': 394.0, 'grad_norm_square': 31232.0, 'tokens': 415}
{'loss': 322.0, 'grad_norm_square': 23424.0, 'tokens': 305}
{'loss': 312.0, 'grad_norm_square': 27904.0, 'tokens': 356}
{'loss': 360.0, 'grad_norm_square': 25216.0, 'tokens': 450}
{'loss': 482.0, 'grad_norm_square': 25600.0, 'tokens': 460}
{'loss': 205.0, 'grad_norm_square': 22400.0, 'tokens': 259}
{'loss': 306.0, 'grad_norm_square': 23040.0, 'tokens': 418}
{'loss': 406.0, 'grad_norm_square': 22016.0, 'tokens': 440}
{'loss': 426.0, 'grad_norm_square': 24576.0, 'tokens': 495}
{'loss': 324.0, 'grad_norm_square': 22400.0, 'tokens': 392}
{'loss': 468.0, 'grad_norm_square': 27648.0, 'tokens': 453}
{'loss': 262.0, 'grad_norm_square': 27392.0, 'tokens': 293}
{'loss': 394.0, 'grad_norm_square': 32000.0, 'tokens': 386}
{'loss': 358.0, 'grad_norm_square': 24064.0, 'tokens': 448}
{'loss': 294.0, 'grad_norm_square': 21376.0, 'tokens': 314}
{'loss': 520.0, 'grad_norm_square': 31872.0, 'tokens': 480}
{'loss': 446.0, 'grad_norm_square': 25472.0, 'tokens': 466}
{'loss': 404.0, 'grad_norm_square': 29952.0, 'tokens': 282}
{'loss': 436.0, 'grad_norm_square': 30464.0, 'tokens': 440}
{'loss': 434.0, 'grad_norm_square': 24832.0, 'tokens': 457}
{'loss': 344.0, 'grad_norm_square': 24704.0, 'tokens': 415}
{'loss': 232.0, 'grad_norm_square': 22912.0, 'tokens': 340}
{'loss': 208.0, 'grad_norm_square': 19968.0, 'tokens': 399}
{'loss': 410.0, 'grad_norm_square': 24832.0, 'tokens': 436}
{'loss': 390.0, 'grad_norm_square': 21248.0, 'tokens': 374}
{'loss': 260.0, 'grad_norm_square': 19968.0, 'tokens': 323}
{'loss': 368.0, 'grad_norm_square': 24448.0, 'tokens': 473}
{'loss': 436.0, 'grad_norm_square': 24064.0, 'tokens': 491}
{'loss': 424.0, 'grad_norm_square': 25216.0, 'tokens': 477}
{'loss': 368.0, 'grad_norm_square': 28160.0, 'tokens': 339}
{'loss': 442.0, 'grad_norm_square': 29696.0, 'tokens': 462}
{'loss': 284.0, 'grad_norm_square': 22912.0, 'tokens': 251}
{'loss': 370.0, 'grad_norm_square': 25088.0, 'tokens': 402}
{'loss': 400.0, 'grad_norm_square': 30080.0, 'tokens': 489}
{'loss': 384.0, 'grad_norm_square': 23680.0, 'tokens': 437}
{'loss': 446.0, 'grad_norm_square': 23424.0, 'tokens': 404}
{'loss': 432.0, 'grad_norm_square': 26240.0, 'tokens': 384}
{'loss': 428.0, 'grad_norm_square': 24960.0, 'tokens': 483}
{'loss': 448.0, 'grad_norm_square': 26496.0, 'tokens': 438}
{'loss': 286.0, 'grad_norm_square': 20864.0, 'tokens': 266}
{'loss': 454.0, 'grad_norm_square': 24192.0, 'tokens': 454}
{'loss': 374.0, 'grad_norm_square': 21120.0, 'tokens': 447}
{'loss': 332.0, 'grad_norm_square': 22272.0, 'tokens': 447}
{'loss': 448.0, 'grad_norm_square': 25216.0, 'tokens': 423}
{'loss': 448.0, 'grad_norm_square': 28928.0, 'tokens': 438}
{'loss': 300.0, 'grad_norm_square': 22272.0, 'tokens': 276}
{'loss': 438.0, 'grad_norm_square': 24960.0, 'tokens': 441}
{'loss': 382.0, 'grad_norm_square': 27136.0, 'tokens': 433}
{'loss': 478.0, 'grad_norm_square': 23168.0, 'tokens': 424}
{'loss': 394.0, 'grad_norm_square': 26240.0, 'tokens': 448}
{'loss': 452.0, 'grad_norm_square': 24448.0, 'tokens': 461}
{'loss': 396.0, 'grad_norm_square': 31872.0, 'tokens': 366}
{'loss': 316.0, 'grad_norm_square': 26624.0, 'tokens': 258}
{'loss': 548.0, 'grad_norm_square': 29696.0, 'tokens': 346}
{'loss': 292.0, 'grad_norm_square': 20096.0, 'tokens': 404}
{'loss': 398.0, 'grad_norm_square': 25728.0, 'tokens': 312}
{'loss': 213.0, 'grad_norm_square': 26496.0, 'tokens': 315}
{'loss': 456.0, 'grad_norm_square': 29056.0, 'tokens': 423}
{'loss': 288.0, 'grad_norm_square': 21760.0, 'tokens': 399}
{'loss': 520.0, 'grad_norm_square': 26240.0, 'tokens': 443}
{'loss': 316.0, 'grad_norm_square': 23680.0, 'tokens': 469}
{'loss': 232.0, 'grad_norm_square': 19968.0, 'tokens': 357}
{'loss': 458.0, 'grad_norm_square': 26368.0, 'tokens': 471}
{'loss': 229.0, 'grad_norm_square': 20992.0, 'tokens': 316}
{'loss': 324.0, 'grad_norm_square': 28672.0, 'tokens': 432}
{'loss': 306.0, 'grad_norm_square': 23040.0, 'tokens': 433}
{'loss': 282.0, 'grad_norm_square': 21760.0, 'tokens': 275}
{'loss': 486.0, 'grad_norm_square': 31104.0, 'tokens': 402}
{'loss': 344.0, 'grad_norm_square': 23808.0, 'tokens': 297}
{'loss': 376.0, 'grad_norm_square': 27136.0, 'tokens': 500}
{'loss': 358.0, 'grad_norm_square': 29184.0, 'tokens': 358}
{'loss': 440.0, 'grad_norm_square': 33536.0, 'tokens': 406}
{'loss': 163.0, 'grad_norm_square': 15872.0, 'tokens': 271}
{'loss': 446.0, 'grad_norm_square': 29952.0, 'tokens': 457}
{'loss': 394.0, 'grad_norm_square': 30336.0, 'tokens': 443}
{'loss': 484.0, 'grad_norm_square': 28416.0, 'tokens': 389}
{'loss': 294.0, 'grad_norm_square': 20992.0, 'tokens': 249}
{'loss': 178.0, 'grad_norm_square': 16128.0, 'tokens': 279}
{'loss': 466.0, 'grad_norm_square': 33024.0, 'tokens': 438}
{'loss': 239.0, 'grad_norm_square': 18304.0, 'tokens': 251}
{'loss': 466.0, 'grad_norm_square': 28672.0, 'tokens': 428}
{'loss': 398.0, 'grad_norm_square': 25728.0, 'tokens': 434}
{'loss': 300.0, 'grad_norm_square': 21888.0, 'tokens': 254}
{'loss': 228.0, 'grad_norm_square': 22784.0, 'tokens': 303}
{'loss': 410.0, 'grad_norm_square': 22912.0, 'tokens': 480}
{'loss': 396.0, 'grad_norm_square': 24960.0, 'tokens': 440}
{'loss': 292.0, 'grad_norm_square': 22272.0, 'tokens': 297}
{'loss': 186.0, 'grad_norm_square': 21760.0, 'tokens': 300}
{'loss': 356.0, 'grad_norm_square': 27648.0, 'tokens': 413}
{'loss': 456.0, 'grad_norm_square': 30080.0, 'tokens': 440}
{'loss': 700.0, 'grad_norm_square': 34816.0, 'tokens': 426}
{'loss': 520.0, 'grad_norm_square': 25088.0, 'tokens': 442}
{'loss': 464.0, 'grad_norm_square': 27648.0, 'tokens': 435}
{'loss': 194.0, 'grad_norm_square': 18304.0, 'tokens': 350}
{'loss': 304.0, 'grad_norm_square': 22400.0, 'tokens': 403}
{'loss': 576.0, 'grad_norm_square': 29824.0, 'tokens': 437}
{'loss': 564.0, 'grad_norm_square': 28160.0, 'tokens': 489}
{'loss': 255.0, 'grad_norm_square': 22400.0, 'tokens': 265}
{'loss': 202.0, 'grad_norm_square': 19328.0, 'tokens': 295}
{'loss': 300.0, 'grad_norm_square': 21760.0, 'tokens': 308}
{'loss': 206.0, 'grad_norm_square': 19840.0, 'tokens': 338}
{'loss': 452.0, 'grad_norm_square': 48128.0, 'tokens': 462}
{'loss': 328.0, 'grad_norm_square': 24832.0, 'tokens': 402}
{'loss': 280.0, 'grad_norm_square': 24064.0, 'tokens': 377}
{'loss': 418.0, 'grad_norm_square': 24576.0, 'tokens': 487}
{'loss': 260.0, 'grad_norm_square': 19200.0, 'tokens': 288}
{'loss': 544.0, 'grad_norm_square': 31744.0, 'tokens': 496}
{'loss': 404.0, 'grad_norm_square': 27136.0, 'tokens': 442}
{'loss': 334.0, 'grad_norm_square': 25984.0, 'tokens': 264}
{'loss': 227.0, 'grad_norm_square': 20608.0, 'tokens': 287}
{'loss': 376.0, 'grad_norm_square': 27648.0, 'tokens': 402}
{'loss': 390.0, 'grad_norm_square': 30592.0, 'tokens': 407}
{'loss': 612.0, 'grad_norm_square': 32000.0, 'tokens': 387}
{'loss': 406.0, 'grad_norm_square': 24448.0, 'tokens': 448}
{'loss': 249.0, 'grad_norm_square': 19968.0, 'tokens': 285}
{'loss': 296.0, 'grad_norm_square': 23168.0, 'tokens': 277}
{'loss': 312.0, 'grad_norm_square': 20992.0, 'tokens': 265}
{'loss': 232.0, 'grad_norm_square': 19200.0, 'tokens': 321}
{'loss': 408.0, 'grad_norm_square': 27264.0, 'tokens': 427}
{'loss': 416.0, 'grad_norm_square': 26368.0, 'tokens': 432}
{'loss': 225.0, 'grad_norm_square': 19584.0, 'tokens': 252}
{'loss': 288.0, 'grad_norm_square': 20736.0, 'tokens': 261}
{'loss': 422.0, 'grad_norm_square': 25216.0, 'tokens': 462}
{'loss': 223.0, 'grad_norm_square': 21248.0, 'tokens': 248}
{'loss': 380.0, 'grad_norm_square': 26880.0, 'tokens': 398}
{'loss': 258.0, 'grad_norm_square': 18816.0, 'tokens': 288}
{'loss': 488.0, 'grad_norm_square': 28672.0, 'tokens': 467}
{'loss': 460.0, 'grad_norm_square': 25600.0, 'tokens': 435}
{'loss': 178.0, 'grad_norm_square': 14528.0, 'tokens': 300}
{'loss': 384.0, 'grad_norm_square': 21888.0, 'tokens': 445}
{'loss': 254.0, 'grad_norm_square': 21632.0, 'tokens': 296}
{'loss': 390.0, 'grad_norm_square': 26624.0, 'tokens': 324}
{'loss': 251.0, 'grad_norm_square': 17152.0, 'tokens': 268}
{'loss': 318.0, 'grad_norm_square': 25088.0, 'tokens': 375}
{'loss': 480.0, 'grad_norm_square': 27008.0, 'tokens': 478}
{'loss': 434.0, 'grad_norm_square': 25856.0, 'tokens': 429}
{'loss': 318.0, 'grad_norm_square': 21120.0, 'tokens': 441}
{'loss': 178.0, 'grad_norm_square': 18688.0, 'tokens': 277}
{'loss': 382.0, 'grad_norm_square': 29312.0, 'tokens': 439}
{'loss': 378.0, 'grad_norm_square': 21376.0, 'tokens': 382}
{'loss': 262.0, 'grad_norm_square': 19840.0, 'tokens': 268}
{'loss': 314.0, 'grad_norm_square': 19968.0, 'tokens': 259}
{'loss': 366.0, 'grad_norm_square': 26240.0, 'tokens': 426}
{'loss': 326.0, 'grad_norm_square': 28672.0, 'tokens': 382}
{'loss': 474.0, 'grad_norm_square': 27776.0, 'tokens': 405}
{'loss': 456.0, 'grad_norm_square': 23680.0, 'tokens': 468}
{'loss': 292.0, 'grad_norm_square': 22144.0, 'tokens': 413}
{'loss': 292.0, 'grad_norm_square': 23040.0, 'tokens': 278}
{'loss': 492.0, 'grad_norm_square': 26368.0, 'tokens': 400}
{'loss': 410.0, 'grad_norm_square': 20992.0, 'tokens': 441}
{'loss': 338.0, 'grad_norm_square': 21248.0, 'tokens': 393}
{'loss': 266.0, 'grad_norm_square': 20224.0, 'tokens': 259}
{'loss': 382.0, 'grad_norm_square': 25472.0, 'tokens': 499}
{'loss': 306.0, 'grad_norm_square': 20992.0, 'tokens': 429}
{'loss': 380.0, 'grad_norm_square': 20608.0, 'tokens': 405}
{'loss': 490.0, 'grad_norm_square': 25600.0, 'tokens': 395}
{'loss': 290.0, 'grad_norm_square': 27392.0, 'tokens': 362}
{'loss': 434.0, 'grad_norm_square': 23424.0, 'tokens': 463}
{'loss': 288.0, 'grad_norm_square': 21632.0, 'tokens': 262}
{'loss': 149.0, 'grad_norm_square': 15104.0, 'tokens': 253}
{'loss': 350.0, 'grad_norm_square': 21120.0, 'tokens': 412}
{'loss': 348.0, 'grad_norm_square': 24704.0, 'tokens': 276}
{'loss': 366.0, 'grad_norm_square': 21504.0, 'tokens': 427}
{'loss': 284.0, 'grad_norm_square': 20608.0, 'tokens': 370}
{'loss': 414.0, 'grad_norm_square': 24832.0, 'tokens': 322}
{'loss': 318.0, 'grad_norm_square': 19328.0, 'tokens': 446}
{'loss': 356.0, 'grad_norm_square': 21632.0, 'tokens': 391}
{'loss': 380.0, 'grad_norm_square': 24064.0, 'tokens': 485}
{'loss': 356.0, 'grad_norm_square': 22272.0, 'tokens': 392}
{'loss': 392.0, 'grad_norm_square': 23936.0, 'tokens': 385}
{'loss': 308.0, 'grad_norm_square': 24832.0, 'tokens': 410}
{'loss': 406.0, 'grad_norm_square': 26240.0, 'tokens': 373}
{'loss': 448.0, 'grad_norm_square': 25088.0, 'tokens': 408}
{'loss': 450.0, 'grad_norm_square': 28160.0, 'tokens': 476}
{'loss': 452.0, 'grad_norm_square': 31104.0, 'tokens': 302}
{'loss': 414.0, 'grad_norm_square': 27008.0, 'tokens': 443}
{'loss': 478.0, 'grad_norm_square': 28288.0, 'tokens': 428}
{'loss': 163.0, 'grad_norm_square': 18432.0, 'tokens': 276}
{'loss': 328.0, 'grad_norm_square': 22400.0, 'tokens': 375}
{'loss': 408.0, 'grad_norm_square': 23040.0, 'tokens': 412}
{'loss': 193.0, 'grad_norm_square': 29184.0, 'tokens': 319}
{'loss': 386.0, 'grad_norm_square': 24192.0, 'tokens': 430}
{'loss': 372.0, 'grad_norm_square': 24832.0, 'tokens': 439}
{'loss': 438.0, 'grad_norm_square': 23168.0, 'tokens': 458}
{'loss': 396.0, 'grad_norm_square': 25984.0, 'tokens': 410}
{'loss': 282.0, 'grad_norm_square': 18816.0, 'tokens': 373}
{'loss': 310.0, 'grad_norm_square': 23936.0, 'tokens': 316}
{'loss': 498.0, 'grad_norm_square': 27392.0, 'tokens': 469}
{'loss': 296.0, 'grad_norm_square': 20096.0, 'tokens': 379}
{'loss': 272.0, 'grad_norm_square': 23424.0, 'tokens': 349}
{'loss': 556.0, 'grad_norm_square': 28544.0, 'tokens': 425}
{'loss': 215.0, 'grad_norm_square': 16320.0, 'tokens': 271}
{'loss': 416.0, 'grad_norm_square': 25856.0, 'tokens': 472}
{'loss': 352.0, 'grad_norm_square': 25472.0, 'tokens': 430}
{'loss': 380.0, 'grad_norm_square': 23808.0, 'tokens': 404}
{'loss': 448.0, 'grad_norm_square': 28032.0, 'tokens': 455}
{'loss': 460.0, 'grad_norm_square': 26624.0, 'tokens': 472}
{'loss': 448.0, 'grad_norm_square': 25856.0, 'tokens': 437}
{'loss': 378.0, 'grad_norm_square': 23040.0, 'tokens': 465}
{'loss': 384.0, 'grad_norm_square': 22656.0, 'tokens': 435}
{'loss': 296.0, 'grad_norm_square': 21376.0, 'tokens': 411}
{'loss': 422.0, 'grad_norm_square': 23168.0, 'tokens': 420}
{'loss': 358.0, 'grad_norm_square': 22656.0, 'tokens': 417}
{'loss': 300.0, 'grad_norm_square': 20864.0, 'tokens': 406}
{'loss': 336.0, 'grad_norm_square': 25984.0, 'tokens': 322}
{'loss': 482.0, 'grad_norm_square': 24704.0, 'tokens': 445}
{'loss': 240.0, 'grad_norm_square': 16640.0, 'tokens': 271}
{'loss': 380.0, 'grad_norm_square': 23808.0, 'tokens': 423}
{'loss': 472.0, 'grad_norm_square': 29568.0, 'tokens': 476}
{'loss': 434.0, 'grad_norm_square': 24704.0, 'tokens': 444}
{'loss': 282.0, 'grad_norm_square': 17536.0, 'tokens': 282}
{'loss': 448.0, 'grad_norm_square': 25856.0, 'tokens': 429}
{'loss': 396.0, 'grad_norm_square': 26112.0, 'tokens': 454}
{'loss': 284.0, 'grad_norm_square': 22144.0, 'tokens': 356}
{'loss': 620.0, 'grad_norm_square': 31232.0, 'tokens': 397}
{'loss': 380.0, 'grad_norm_square': 22016.0, 'tokens': 487}
{'loss': 392.0, 'grad_norm_square': 23040.0, 'tokens': 453}
{'loss': 286.0, 'grad_norm_square': 21888.0, 'tokens': 397}
{'loss': 340.0, 'grad_norm_square': 23168.0, 'tokens': 423}
{'loss': 442.0, 'grad_norm_square': 23296.0, 'tokens': 379}
{'loss': 596.0, 'grad_norm_square': 30592.0, 'tokens': 461}
{'loss': 190.0, 'grad_norm_square': 21632.0, 'tokens': 254}
{'loss': 454.0, 'grad_norm_square': 25600.0, 'tokens': 470}
{'loss': 392.0, 'grad_norm_square': 22784.0, 'tokens': 416}
{'loss': 217.0, 'grad_norm_square': 20480.0, 'tokens': 297}
{'loss': 480.0, 'grad_norm_square': 25472.0, 'tokens': 482}
{'loss': 388.0, 'grad_norm_square': 23680.0, 'tokens': 417}
{'loss': 498.0, 'grad_norm_square': 24960.0, 'tokens': 420}
{'loss': 241.0, 'grad_norm_square': 17280.0, 'tokens': 250}
{'loss': 346.0, 'grad_norm_square': 20864.0, 'tokens': 407}
{'loss': 211.0, 'grad_norm_square': 30592.0, 'tokens': 275}
{'loss': 510.0, 'grad_norm_square': 26496.0, 'tokens': 444}
{'loss': 187.0, 'grad_norm_square': 16384.0, 'tokens': 256}
{'loss': 448.0, 'grad_norm_square': 22400.0, 'tokens': 461}
{'loss': 320.0, 'grad_norm_square': 22528.0, 'tokens': 335}
{'loss': 452.0, 'grad_norm_square': 24832.0, 'tokens': 398}
{'loss': 396.0, 'grad_norm_square': 19840.0, 'tokens': 437}
{'loss': 452.0, 'grad_norm_square': 29440.0, 'tokens': 464}
{'loss': 310.0, 'grad_norm_square': 21376.0, 'tokens': 400}
{'loss': 310.0, 'grad_norm_square': 20608.0, 'tokens': 345}
{'loss': 274.0, 'grad_norm_square': 19456.0, 'tokens': 261}
{'loss': 308.0, 'grad_norm_square': 22784.0, 'tokens': 256}
{'loss': 424.0, 'grad_norm_square': 28288.0, 'tokens': 410}
{'loss': 448.0, 'grad_norm_square': 22784.0, 'tokens': 480}
{'loss': 294.0, 'grad_norm_square': 22528.0, 'tokens': 260}
{'loss': 223.0, 'grad_norm_square': 22784.0, 'tokens': 262}
{'loss': 374.0, 'grad_norm_square': 22656.0, 'tokens': 461}
{'loss': 396.0, 'grad_norm_square': 27904.0, 'tokens': 427}
{'loss': 364.0, 'grad_norm_square': 25472.0, 'tokens': 406}
{'loss': 394.0, 'grad_norm_square': 24960.0, 'tokens': 481}
{'loss': 290.0, 'grad_norm_square': 21120.0, 'tokens': 409}
{'loss': 360.0, 'grad_norm_square': 21888.0, 'tokens': 258}
{'loss': 250.0, 'grad_norm_square': 22912.0, 'tokens': 354}
{'loss': 548.0, 'grad_norm_square': 30336.0, 'tokens': 444}
{'loss': 488.0, 'grad_norm_square': 29952.0, 'tokens': 481}
{'loss': 262.0, 'grad_norm_square': 23936.0, 'tokens': 252}
{'loss': 428.0, 'grad_norm_square': 21760.0, 'tokens': 433}
{'loss': 328.0, 'grad_norm_square': 22272.0, 'tokens': 288}
{'loss': 436.0, 'grad_norm_square': 25984.0, 'tokens': 385}
{'loss': 478.0, 'grad_norm_square': 23424.0, 'tokens': 470}
{'loss': 360.0, 'grad_norm_square': 23680.0, 'tokens': 391}
{'loss': 260.0, 'grad_norm_square': 19840.0, 'tokens': 274}
{'loss': 159.0, 'grad_norm_square': 16256.0, 'tokens': 314}
{'loss': 398.0, 'grad_norm_square': 21760.0, 'tokens': 460}
{'loss': 274.0, 'grad_norm_square': 18560.0, 'tokens': 270}
{'loss': 270.0, 'grad_norm_square': 21120.0, 'tokens': 285}
{'loss': 290.0, 'grad_norm_square': 21504.0, 'tokens': 371}
{'loss': 460.0, 'grad_norm_square': 23168.0, 'tokens': 454}
